feature,importance
years_with_diabetes,0.37604964744696295
hbA1c,0.24186125541349246
systolic_bp,0.06273403614315047
retinal_screening_regularity_2,0.06140726227536025
serum_cholesterol,0.03964376018116977
bmi,0.03863763748587714
diastolic_bp,0.03857841604757421
age,0.03522436405532513
retinal_screening_regularity_1,0.026387684951608387
dyslipidemia_1,0.024469878577608073
gender_1,0.02066798403829889
family_history_dr_1,0.010891062113481086
hypertension_1,0.01074428529917329
smoking_status_2,0.006921075475674622
smoking_status_1,0.005781650495243153
