feature,mean_abs_shap
bmi,0.060896878566692784
age,0.06089687856669233
dyslipidemia_1,0.05291249638492247
hypertension_1,0.052912496384921966
retinal_screening_regularity_2,0.04971598720306105
smoking_status_2,0.04632587333443338
smoking_status_1,0.04632587333443294
hbA1c,0.04284747817971873
systolic_bp,0.042847478179718713
gender_1,0.04278670071240911
serum_cholesterol,0.042786700712408775
years_with_diabetes,0.04250498570609304
diastolic_bp,0.04250498570609261
retinal_screening_regularity_1,0.0333448946063064
family_history_dr_1,0.03334489460630615
